term,GVIF,Df,GVIF^(1/(2*Df))
year_c,7.150654599013746,1,2.6740707916982576
post_2002,4.885123598093256,1,2.21023157114662
post_2009,4.163580527678503,1,2.0404853657104485
arrangement_type,11.031464029970104,9,1.1426785211890371
log_n_conditions,1.570391623722685,1,1.2531526737483685
log_loan_size,1.7415148168291092,1,1.3196646607487483
region,5.501881192521797,4,1.2375532670253384
transition_economy,2.5177207953277283,1,1.5867327422498498
repeat_borrower,1.3482050965973869,1,1.1611223435096694
log_gdp_pc,2.9957747025696593,1,1.7308306394819972
any_crisis,1.067970858894576,1,1.0334267554570937
